Date,Currency,FX_to_Report_Ccy
2023-06-05,USD,0.9346999822722951
2023-06-06,EUR,1.0
2023-06-06,JPY,0.006698192542782538
2023-06-06,USD,0.9335500330079722
2023-06-07,EUR,1.0
2023-06-07,JPY,0.006699898309496331
2023-06-07,USD,0.9347499764045111
2023-06-08,EUR,1.0
2023-06-08,JPY,0.006676102474750181
2023-06-08,USD,0.9339300195545517
2023-06-09,EUR,1.0
2023-06-09,JPY,0.006679134329727224
2023-06-09,USD,0.9274099994925484
2023-06-12,EUR,1.0
2023-06-12,JPY,0.006674675951897031
2023-06-12,USD,0.9301499996562642
2023-06-13,EUR,1.0
2023-06-13,JPY,0.00666262452263865
2023-06-13,USD,0.9291099919821891
2023-06-14,EUR,1.0
2023-06-14,JPY,0.006612357407926838
2023-06-14,USD,0.9268399721482015
2023-06-15,EUR,1.0
2023-06-15,JPY,0.006589134543680615
2023-06-15,USD,0.9222499993678406
2023-06-16,EUR,1.0
2023-06-16,JPY,0.006513512586784634
2023-06-16,USD,0.9135800452335281
2023-06-19,EUR,1.0
2023-06-19,JPY,0.006444129702269723
2023-06-19,USD,0.9139000352111448
2023-06-20,EUR,1.0
2023-06-20,JPY,0.006451321395724326
2023-06-20,USD,0.9153900639799056
2023-06-21,EUR,1.0
2023-06-21,JPY,0.006479369748414267
2023-06-21,USD,0.9157200200116389
2023-06-22,EUR,1.0
2023-06-22,JPY,0.006421081715554389
2023-06-22,USD,0.9096999541604316
2023-06-23,EUR,1.0
2023-06-23,JPY,0.0063816210559997566
2023-06-23,USD,0.9125000067986548
2023-06-26,EUR,1.0
2023-06-26,JPY,0.006387816985768354
2023-06-26,USD,0.916870027354367
2023-06-27,EUR,1.0
2023-06-27,JPY,0.006389286713586691
2023-06-27,USD,0.9165499574208834
2023-06-28,EUR,1.0
2023-06-28,JPY,0.00634364808550296
2023-06-28,USD,0.9126399853779299
2023-06-29,EUR,1.0
2023-06-29,JPY,0.0063448555222878344
2023-06-29,USD,0.9161000337560797
2023-06-30,EUR,1.0
2023-06-30,JPY,0.006355339465566145
2023-06-30,USD,0.9201299934933053
2023-07-03,EUR,1.0
2023-07-03,JPY,0.006349528687786032
2023-07-03,USD,0.9167999835626224
2023-07-04,EUR,1.0
