Date,Security,Price,Price_Currency
2022-04-29,ASML.AS,525.8507080078125,EUR
2022-04-29,BNP.PA,36.8536491394043,EUR
2022-04-29,MSFT,268.4660339355469,USD
2022-04-29,SHELL.AS,21.79826545715332,EUR
2022-05-02,7203.T,1981.3033447265625,JPY
2022-05-02,AAPL,154.76678466796875,USD
2022-05-02,ASML.AS,514.1437377929688,EUR
2022-05-02,BNP.PA,36.186344146728516,EUR
2022-05-02,MSFT,275.1893310546875,USD
2022-05-02,SHELL.AS,21.077836990356445,EUR
2022-05-03,7203.T,1981.3033447265625,JPY
2022-05-03,AAPL,156.2560577392578,USD
2022-05-03,ASML.AS,523.99951171875,EUR
2022-05-03,BNP.PA,38.05108642578125,EUR
2022-05-03,MSFT,272.5870361328125,USD
2022-05-03,SHELL.AS,22.190074920654297,EUR
2022-05-04,7203.T,1981.3033447265625,JPY
2022-05-04,AAPL,162.66383361816406,USD
2022-05-04,ASML.AS,517.3325805664062,EUR
2022-05-04,BNP.PA,37.82123565673828,EUR
2022-05-04,MSFT,280.51953125,USD
2022-05-04,SHELL.AS,22.194293975830078,EUR
2022-05-05,7203.T,1981.3033447265625,JPY
2022-05-05,AAPL,153.600830078125,USD
2022-05-05,ASML.AS,519.0716552734375,EUR
2022-05-05,BNP.PA,37.59138488769531,EUR
2022-05-05,MSFT,268.3016052246094,USD
2022-05-05,SHELL.AS,22.695640563964844,EUR
2022-05-06,7203.T,2023.9884033203125,JPY
2022-05-06,AAPL,154.32693481445312,USD
2022-05-06,ASML.AS,506.70361328125,EUR
2022-05-06,BNP.PA,37.509822845458984,EUR
2022-05-06,MSFT,265.76708984375,USD
2022-05-06,SHELL.AS,22.636659622192383,EUR
2022-05-09,7203.T,1996.4208984375,JPY
2022-05-09,AAPL,149.20494079589844,USD
2022-05-09,ASML.AS,470.3241271972656,EUR
2022-05-09,BNP.PA,36.96115493774414,EUR
2022-05-09,MSFT,255.9482421875,USD
2022-05-09,SHELL.AS,21.93308448791504,EUR
2022-05-10,7203.T,1937.2843017578125,JPY
2022-05-10,AAPL,151.6089324951172,USD
2022-05-10,ASML.AS,472.25665283203125,EUR
2022-05-10,BNP.PA,37.75450134277344,EUR
2022-05-10,MSFT,260.7077331542969,USD
2022-05-10,SHELL.AS,21.979427337646484,EUR
2022-05-11,7203.T,1851.4691162109375,JPY
2022-05-11,AAPL,143.74932861328125,USD
2022-05-11,ASML.AS,496.7511901855469,EUR
2022-05-11,BNP.PA,38.66648483276367,EUR
2022-05-11,MSFT,252.0497283935547,USD
2022-05-11,SHELL.AS,22.82203483581543,EUR
2022-05-12,7203.T,1823.012451171875,JPY
2022-05-12,AAPL,139.88328552246094,USD
2022-05-12,ASML.AS,484.18988037109375,EUR
2022-05-12,BNP.PA,38.11781311035156,EUR
2022-05-12,MSFT,247.01939392089844,USD
2022-05-12,SHELL.AS,22.185867309570312,EUR
2022-05-13,7203.T,1827.4588623046875,JPY
2022-05-13,AAPL,144.34786987304688,USD
2022-05-13,ASML.AS,507.4765930175781,EUR
2022-05-13,BNP.PA,38.83702087402344,EUR
2022-05-13,MSFT,252.60107421875,USD
2022-05-13,SHELL.AS,22.78411102294922,EUR
2022-05-16,7203.T,1822.5679931640625,JPY
2022-05-16,AAPL,142.80735778808594,USD
2022-05-16,ASML.AS,495.3017883300781,EUR
2022-05-16,BNP.PA,38.785118103027344,EUR
2022-05-16,MSFT,252.96871948242188,USD
2022-05-16,SHELL.AS,23.159080505371094,EUR
2022-05-17,7203.T,1807.8948974609375,JPY
2022-05-17,AAPL,146.43788146972656,USD
2022-05-17,ASML.AS,510.7618713378906,EUR
2022-05-17,BNP.PA,39.667442321777344,EUR
2022-05-17,MSFT,258.1152038574219,USD
2022-05-17,SHELL.AS,23.44556427001953,EUR
2022-05-18,7203.T,1817.6768798828125,JPY
2022-05-18,AAPL,138.17599487304688,USD
2022-05-18,ASML.AS,497.5243225097656,EUR
2022-05-18,BNP.PA,39.54881286621094,EUR
2022-05-18,MSFT,246.36326599121094,USD
2022-05-18,SHELL.AS,23.609874725341797,EUR
2022-05-19,7203.T,1782.9951171875,JPY
2022-05-19,AAPL,134.7711181640625,USD
2022-05-19,ASML.AS,485.7359313964844,EUR
2022-05-19,BNP.PA,39.437591552734375,EUR
2022-05-19,MSFT,245.45181274414062,USD
2022-05-19,SHELL.AS,23.376070022583008,EUR
2022-05-20,7203.T,1821.2337646484375,JPY
2022-05-20,AAPL,135.006591796875,USD
2022-05-20,ASML.AS,483.8033752441406,EUR
2022-05-20,BNP.PA,39.823143005371094,EUR
2022-05-20,MSFT,244.88943481445312,USD
2022-05-20,SHELL.AS,23.461088180541992,EUR
2022-05-23,7203.T,1833.2391357421875,JPY
2022-05-23,AAPL,140.42298889160156,USD
2022-05-23,ASML.AS,503.4183654785156,EUR
2022-05-23,BNP.PA,41.47846221923828,EUR
2022-05-23,MSFT,252.73374938964844,USD
2022-05-23,SHELL.AS,23.881935119628906,EUR
2022-05-24,7203.T,1823.012451171875,JPY
2022-05-24,AAPL,137.72459411621094,USD
2022-05-24,ASML.AS,492.0166015625,EUR
2022-05-24,BNP.PA,41.12830352783203,EUR
2022-05-24,MSFT,251.7350311279297,USD
2022-05-24,SHELL.AS,23.45684242248535,EUR
2022-05-25,7203.T,1817.2322998046875,JPY
2022-05-25,AAPL,137.88160705566406,USD
2022-05-25,ASML.AS,490.0840759277344,EUR
2022-05-25,BNP.PA,41.27950668334961,EUR
2022-05-25,MSFT,254.54693603515625,USD
2022-05-25,SHELL.AS,23.754404067993164,EUR
2022-05-26,7203.T,1851.4691162109375,JPY
2022-05-26,AAPL,141.08038330078125,USD
2022-05-26,ASML.AS,499.55328369140625,EUR
2022-05-26,BNP.PA,41.94004440307617,EUR
2022-05-26,MSFT,257.82427978515625,USD
2022-05-26,SHELL.AS,23.9754581451416,EUR
2022-05-27,7203.T,1853.247802734375,JPY
2022-05-27,AAPL,146.8303680419922,USD
2022-05-27,ASML.AS,523.0332641601562,EUR
2022-05-27,BNP.PA,42.61649703979492,EUR
2022-05-27,MSFT,264.9413757324219,USD
2022-05-27,SHELL.AS,23.8309268951416,EUR
2022-05-30,7203.T,1891.0421142578125,JPY
2022-05-30,AAPL,146.8303680419922,USD
2022-05-30,ASML.AS,537.333740234375,EUR
2022-05-30,BNP.PA,43.21336364746094,EUR
2022-05-30,MSFT,264.9413757324219,USD
2022-05-30,SHELL.AS,23.669384002685547,EUR
2022-05-31,7203.T,1887.4849853515625,JPY
2022-05-31,AAPL,146.0453643798828,USD
2022-05-31,ASML.AS,517.9121704101562,EUR
2022-05-31,BNP.PA,42.26633071899414,EUR
2022-05-31,MSFT,263.6129455566406,USD
2022-05-31,SHELL.AS,23.762907028198242,EUR
2022-06-01,7203.T,1954.1807861328125,JPY
2022-06-01,AAPL,145.9178009033203,USD
2022-06-01,ASML.AS,512.5010986328125,EUR
2022-06-01,BNP.PA,42.051456451416016,EUR
2022-06-01,MSFT,264.1462707519531,USD
2022-06-01,SHELL.AS,23.520601272583008,EUR
2022-06-02,7203.T,1950.1787109375,JPY
2022-06-02,AAPL,148.3708953857422,USD
2022-06-02,ASML.AS,517.0425415039062,EUR
2022-06-02,BNP.PA,41.94004440307617,EUR
2022-06-02,MSFT,266.2406311035156,USD
2022-06-02,SHELL.AS,23.39307403564453,EUR
2022-06-03,7203.T,1925.279296875,JPY
2022-06-03,AAPL,142.65036010742188,USD
2022-06-03,ASML.AS,507.7665100097656,EUR
2022-06-03,BNP.PA,41.82862854003906,EUR
2022-06-03,MSFT,261.8191833496094,USD
2022-06-03,SHELL.AS,23.54610824584961,EUR
2022-06-06,7203.T,1923.5003662109375,JPY
2022-06-06,AAPL,143.3960723876953,USD
2022-06-06,ASML.AS,520.3278198242188,EUR
2022-06-06,BNP.PA,42.4016227722168,EUR
2022-06-06,MSFT,260.5876770019531,USD
2022-06-06,SHELL.AS,23.843677520751953,EUR
2022-06-07,7203.T,1947.95556640625,JPY
2022-06-07,AAPL,145.9178009033203,USD
2022-06-07,ASML.AS,514.1437377929688,EUR
2022-06-07,BNP.PA,41.7410888671875,EUR
2022-06-07,MSFT,264.223876953125,USD
2022-06-07,SHELL.AS,24.14549446105957,EUR
2022-06-08,7203.T,1983.0819091796875,JPY
2022-06-08,AAPL,145.1819305419922,USD
2022-06-08,ASML.AS,517.8155517578125,EUR
2022-06-08,BNP.PA,41.446632385253906,EUR
2022-06-08,MSFT,262.197265625,USD
2022-06-08,SHELL.AS,24.226266860961914,EUR
2022-06-09,7203.T,1991.085693359375,JPY
2022-06-09,AAPL,139.96182250976562,USD
2022-06-09,ASML.AS,503.1285400390625,EUR
2022-06-09,BNP.PA,40.73834228515625,EUR
2022-06-09,MSFT,256.7480163574219,USD
2022-06-09,SHELL.AS,23.941450119018555,EUR
2022-06-10,7203.T,1959.5162353515625,JPY
2022-06-10,AAPL,134.55526733398438,USD
2022-06-10,ASML.AS,478.392333984375,EUR
2022-06-10,BNP.PA,38.67715072631836,EUR
2022-06-10,MSFT,245.30638122558594,USD
2022-06-10,SHELL.AS,23.274045944213867,EUR
2022-06-13,7203.T,1895.48828125,JPY
2022-06-13,AAPL,129.40380859375,USD
2022-06-13,ASML.AS,457.1348571777344,EUR
2022-06-13,BNP.PA,37.14120864868164,EUR
2022-06-13,MSFT,234.9022216796875,USD
2022-06-13,SHELL.AS,22.666162490844727,EUR
2022-06-14,7203.T,1863.0299072265625,JPY
2022-06-14,AAPL,130.267333984375,USD
2022-06-14,ASML.AS,455.29888916015625,EUR
2022-06-14,BNP.PA,37.67043685913086,EUR
2022-06-14,MSFT,237.06454467773438,USD
2022-06-14,SHELL.AS,22.623645782470703,EUR
2022-06-15,7203.T,1849.690673828125,JPY
2022-06-15,AAPL,132.88717651367188,USD
2022-06-15,ASML.AS,466.0726623535156,EUR
2022-06-15,BNP.PA,38.42647171020508,EUR
2022-06-15,MSFT,244.11375427246094,USD
2022-06-15,SHELL.AS,22.389841079711914,EUR
2022-06-16,7203.T,1903.0472412109375,JPY
2022-06-16,AAPL,127.61801147460938,USD
2022-06-16,ASML.AS,433.7031555175781,EUR
2022-06-16,BNP.PA,37.81766128540039,EUR
2022-06-16,MSFT,237.5299530029297,USD
2022-06-16,SHELL.AS,21.403621673583984,EUR
2022-06-17,7203.T,1834.5728759765625,JPY
2022-06-17,AAPL,129.08985900878906,USD
2022-06-17,ASML.AS,433.9930114746094,EUR
2022-06-17,BNP.PA,37.99274444580078,EUR
2022-06-17,MSFT,240.12855529785156,USD
2022-06-17,SHELL.AS,20.298368453979492,EUR
2022-06-20,7203.T,1858.138916015625,JPY
